,TotalFinishedArea,TotalAppraisedValue
4502,0.036390918295250096,0.13235811592017294
3623,0.009416405049276334,0.07389534006937114
1208,0.006657585933118213,0.0484592570250842
3107,0.019621668548369473,0.09078570351379882
3374,0.007917719813237961,0.04423666616397728
1459,0.003175828738336478,0.040064344241693056
3232,0.006096717096301908,0.016035791484441765
4040,0.0006482769672292351,0.0056301211481425625
4253,0.0032705208796171524,0.011913738500980244
1223,0.1441651430943935,0.321268788015885
4353,0.0669182078419661,0.3504247725330518
4527,0.0394720548923059,0.032553662092193236
1272,0.005586836335559813,0.06353993867189464
2049,0.030774945916219307,0.10667068818177249
3650,0.24157422042873689,0.18539184637812295
425,0.022842658081245856,0.08188810134218066
2335,0.018672561859462294,0.07404614688583924
1598,0.00885553621246003,0.0344844920323732
848,0.0416135540874227,0.08545719599859247
2347,0.025399345895824075,0.0932991504549339
1023,0.005878196770269581,0.012265621072739154
909,0.0022871794124716834,0.013120193032725078
3846,0.0022289073255297295,0.014025033931533705
2985,0.07480679161173308,0.24772533051827275
1843,0.01815903909328633,0.09586286633489167
627,0.0018719907930102632,0.01588498466797366
4486,0.007334998943818424,0.01970542401849897
847,0.020352983239490995,0.08792037400090484
3216,0.010379715486535506,0.062132408384859
3903,0.0030374325318493376,0.011159704418639723
100,0.0021560672168522877,0.01769466646559091
4064,0.005127943650891927,0.015482833157392047
256,0.0744790111226846,0.16523400191021967
2020,0.059357404561247606,0.0485095259639069
480,0.005907332813740558,0.015030412707987734
3801,0.0016097664017714714,0.009400291559845172
1446,0.02268969385302323,0.0796762680339818
4573,0.004938559368330577,0.023928014879605893
1153,0.008835505182573733,0.061981601568390894
1680,0.007531667237247518,0.06414316593776706
2565,0.027554830391806943,0.10415724124063741
3561,0.05333352757362314,0.11536721459809983
4286,0.001966682934290938,0.007992761272809531
3293,0.012623190833800724,0.04981651837329714
814,0.0048147311835789255,0.05554717739908511
2829,0.006861538237415051,0.044588548735736186
655,0.006380793520143932,0.019856230834967074
2210,0.016567482718684218,0.09153973759613934
4450,0.026129567985315433,0.07123108631176796
3772,0.002381871553752358,0.014125571809179109
3520,0.030447165427170818,0.09078570351379882
1545,0.0418357164188889,0.12733122203790279
4484,0.17991506843328212,0.5782436032775348
2922,0.00366385746647534,0.03222238978535163
2925,0.0055431322703533474,0.1139596843110642
23,0.01386147268131724,0.07500125672347056
1484,0.008995753421664105,0.06791333634946967
561,0.0031029886296590355,0.02322424973608807
4346,0.015570301703730144,0.12225405921680993
3370,0.0310371703074581,0.09048408988086261
1537,0.00829648837836066,0.06670688181772483
2491,0.01434221739858836,0.06343940079424923
772,0.01155681171560308,0.06856683255416478
165,0.037417963827602034,0.100185995073644
1678,0.01811533502807986,0.09259538531141608
265,0.0016753224995811693,0.01633740511737797
556,0.029201599568786558,0.1589001156185593
1691,0.01526000276792413,0.09143919971849394
404,0.0017700146408618442,0.01588498466797366
2269,0.03449343346420273,0.08435127934449303
881,0.0022871794124716834,0.013120193032725078
1931,0.008354760465302613,0.07012516965766853
2954,0.5998237269370006,0.8176745588900618
1091,0.006562893791837538,0.012868848338611572
2636,0.003496325216517223,0.008193837028100337
3328,0.02476563695033033,0.0864123058362238
3677,0.008966617378193127,0.06630473030714322
4336,0.018829168093118794,0.061076760669582265
3602,0.005484860183411394,0.043080480571055145
241,0.016687668898001995,0.0689187151259237
2111,0.011472317116697137,0.09249484743377068
436,0.0022871794124716834,0.01870004524204494
2015,0.004902139313991857,0.05338561302970894
181,0.0061695572049793495,0.05921680993314231
2434,0.006715858020060166,0.07193485145528578
213,0.0024619956732975447,0.01759412858794551
1970,0.015711611441724272,0.09495802543608305
3154,0.0077137675089411235,0.05047001457799226
3809,0.005106091618288695,0.023023173980797264
3030,0.0267541719172245,0.08746795355150053
2316,0.002913604347097686,0.0076911476398733225
3729,0.0033724970317655714,0.012969386216256975
4544,0.0028043441840815224,0.010858090785703513
993,0.006562893791837538,0.012868848338611572
698,0.006380793520143932,0.019856230834967074
2262,0.014123697072556032,0.1138591464334188
2035,0.03449343346420273,0.08435127934449303
4038,0.0006482769672292351,0.0056301211481425625
2026,0.04956769395499938,0.1281857939978887
1903,0.02622972313474692,0.08575880963152868
4095,0.002709652042800848,0.011913738500980244
3047,0.012712055839227314,0.06821494998240588
980,0.018523239636673537,0.06811441210476046
3025,0.025530458091443473,0.0864625747750465
2164,0.021112705500156606,0.09314834363846579
2374,0.11515292780816828,0.28497461418589454
343,0.00589276479200507,0.056904438747298045
920,0.008318340410963894,0.0657517719800935
690,0.0026295279232556616,0.014376916503292616
1013,0.006417213574482653,0.012567234705675364
3429,0.012436720228426582,0.05559744633790781
3584,0.022962844260563636,0.09249484743377068
1173,0.02297559127958219,0.08812144975619565
482,0.02896851122101874,0.11169758206404262
1071,0.005178931726966137,0.010657015030412708
4467,0.004894855303124113,0.05740712813552506
2235,0.018588795734483236,0.07434776051877545
3620,0.026797875982430965,0.07218619614939929
1216,0.018865588147457518,0.050067863067410644
203,0.02666676378681157,0.06615392349067512
4588,0.045007903151791505,0.06695420499673252
3392,0.02325784670070728,0.07510179460111598
4141,0.00037148455425495497,0.007339265068114412
1924,0.007436975095966843,0.06298698034484491
756,0.026448243460779244,0.10425777911828281
1442,0.024452424483017328,0.09541044588548736
3436,0.003011938493812233,0.0173930528326547
3789,0.0030374325318493376,0.014929874830342332
33,0.02236555536940861,0.07103001055647715
2346,0.00979699461711597,0.06037299552606445
3211,0.02192924319127084,0.07660986276579701
250,0.0018210027169360537,0.017141708138541194
2634,0.0036128693904011306,0.0104056703362992
1130,0.06700976785857364,0.42296285125421
4377,0.056298119996795036,0.26702860302619014
2884,0.004771027118372461,0.07158296888352687
2073,0.025530458091443473,0.08555773387623787
2812,0.02295738125241283,0.045141507062785906
207,0.019167146270222236,0.0729402302317398
962,0.009252879005295476,0.01653848087266878
1350,0.011621639339485894,0.07474991202935706
1129,0.018814600071383306,0.07826873774694616
3554,0.05566441105130129,0.1037550897300558
1114,0.018523239636673537,0.06811441210476046
4177,0.0012091458040455396,0.01975569295732167
1652,0.024823909037272284,0.10551450258885035
6,0.0006555609780969793,0.011159704418639723
478,0.0912832241945705,0.37269391243150857
1353,0.0048147311835789255,0.05459206756145378
2254,0.02881736799551305,0.14809229377167848
4425,0.018177249120455687,0.07404614688583924
2377,0.014538885692017452,0.06303724928366762
3475,0.022645989787816765,0.06720957120595185
2681,0.022366283843335496,0.09490775649726034
2979,0.0048147311835789255,0.049665711556829036
2846,0.028735422873250926,0.038304931382898505
4258,0.0031321246731300123,0.011511586990398632
1283,0.018422720286698665,0.10159352536067964
2067,0.00718640519495655,0.05615040466495752
3094,0.0060908899604478215,0.044839893429849696
4461,0.025858238580491962,0.09113758608555773
2046,0.020285970266667636,0.08113406725984014
271,0.0022507593581329623,0.018498969486754134
3671,0.009097729573812524,0.07148243100588146
1022,0.006213261270185815,0.012516965766852661
2095,0.015041482441891803,0.03518825717589102
4128,0.004676334977091786,0.02322424973608807
3081,0.014575305746356173,0.07384507113054843
1081,0.006213261270185815,0.012667772583320766
553,0.004450530640191715,0.02221887095963404
1394,0.013992584949776746,0.0865128437138692
1245,0.004064478064201272,0.015130950585633138
978,0.010263171312651599,0.05760820389081586
534,0.015085186507098268,0.09510883225255115
2617,0.020001893842825615,0.0759563665611019
1007,0.00672314203092791,0.01141104911275323
1291,0.008318340410963894,0.04393505253104107
3802,0.0025275517711072426,0.012969386216256975
4367,0.11946506224187287,0.6650580606243403
1583,0.0037221295534172936,0.03398180264414618
46,0.02666676378681157,0.06992409390237772
2102,0.007367776992723273,0.07414668476348464
645,0.006380793520143932,0.019856230834967074
2320,0.006080692345232979,0.05403910923440406
2471,0.01757631822386679,0.22088171718695018
2376,0.11515292780816828,0.28497461418589454
3776,0.002381871553752358,0.014125571809179109
2433,0.004618062890149832,0.03538933293118182
2627,0.03234829226365206,0.09500829437490575
4465,0.023738591417978395,0.07530287035640677
845,0.01080218811686467,0.09133866184084855
3965,0.0038022536729624802,0.020861609611421104
1797,0.02361658423594368,0.0866133815915146
2603,0.19009083161552076,0.5782938722163575
384,0.01040156751913874,0.06836575679887398
3582,0.041314909641845185,0.19197707736389685
2277,0.01678090430994923,0.06655607500125672
1405,0.00565239243336951,0.04956517367918363
3206,0.07104824200397707,0.17388025938772433
3895,0.0021560672168522877,0.008445181722213844
457,0.015558647213501642,0.05328507515206354
4430,0.028939375177547765,0.06323832503895843
4119,0.0021196471625135665,0.017795204343236313
2256,0.031953134674076934,0.15799527471975067
211,0.021072643440384013,0.10094002915598452
1340,0.0048147311835789255,0.052028351681496006
3929,0.002396439575487847,0.012516965766852661
855,0.027704735335465122,0.10083949127833912
2923,0.004836583216182158,0.0484592570250842
443,0.0021852032603232644,0.018197355853817924
955,0.007320430922082935,0.05705524556376615
1217,0.003671141477343084,0.011662393806866737
1164,0.06010037366975751,0.19810988790026643
4378,0.028201869077188663,0.10938521087819836
1887,0.005106091618288695,0.02880410194540793
2607,0.016323468354614786,0.07610717337757
3099,0.018366633403017037,0.06469612426481677
246,0.011967629855703744,0.06499773789775298
1032,0.006490053683160095,0.012868848338611572
4030,0.002396439575487847,0.012516965766852661
1615,0.0063589414875406996,0.04428693510279998
544,0.004450530640191715,0.01980596189614437
3874,0.003773117629491503,0.018800583119690344
282,0.014265735284477044,0.07032624541295933
3740,0.003401633075236548,0.013069924093902377
4107,0.0039916379555238295,0.019202734630271955
2242,0.04135132969618391,0.12280701754385964
2880,0.00634291673647177,0.06097622279193686
3116,0.00968045044323206,0.0659528477353843
466,0.06894316286319899,0.210476046850651
3050,0.021640796360908172,0.08555773387623787
4159,0.0021633512277200316,0.01799628009852712
2097,0.05775492217034388,0.22862313376564622
4114,0.0021633512277200316,0.01799628009852712
1722,0.011178188757857626,0.07711255215402403
3823,0.0017700146408618442,0.02186698838787513
563,0.018464967549731585,0.09475694968079224
192,0.009622178356290107,0.059568692504901224
4001,0.0028043441840815224,0.012265621072739154
4599,0.0012747019018552377,0.011913738500980244
2089,0.00909044556294478,0.06761172271653346
4451,0.018581511723615492,0.10094002915598452
3039,0.017823974593370092,0.08978032473734479
21,0.0015150742604907966,0.015382295279746645
3354,0.025901942645698426,0.07032624541295933
582,0.003052000553584826,0.022872367164329162
4210,0.0012091458040455396,0.01975569295732167
3939,0.0026586639667266383,0.01352234454330669
