,TotalFinishedArea,TotalAppraisedValue
0,3666.0,151600.0
1,1760.0,135600.0
2,447.0,39200.0
3,986.0,118300.0
4,898.0,60100.0
5,3464.00001,182200.0
6,329.0,30800.0
7,3506.0,185800.0
8,3915.0,183700.0
9,496.0,40200.0
10,964.0,37700.0
11,12916.0,402300.0
12,1050.00001,107600.0
13,835.0,33800.0
14,582.0,48100.0
15,459.0,38500.0
16,418.0,32100.0
17,477.0,38700.0
18,1702.0,122700.0
19,470.0,41100.0
20,2142.0,157800.0
21,447.0,39200.0
23,2142.0,157800.0
24,6036.0,221600.0
25,583.0,47600.0
26,639.0,52000.0
27,808.0,58800.0
28,450.0,34700.0
29,2415.20001,141600.0
30,1010.0,38200.0
32,477.0,38700.0
33,3309.5,149900.0
34,552.0,45700.0
35,835.0,33800.0
36,835.0,33800.0
37,541.0,49200.0
39,2386.0,189500.0
41,1112.0,156600.0
42,662.0,61900.0
43,3000.0,159600.0
45,658.0,54100.0
46,3900.0,147700.0
47,3660.0,197400.0
48,912.0,44400.0
49,1555.0,107300.0
50,3652.5,496000.0
51,490.0,40800.0
52,2415.20001,141600.0
53,545.0,43900.0
54,1074.0,124900.0
55,282.0,26700.0
56,548.0,45400.0
57,430.0,37800.0
58,682.0,55400.0
59,1241.5,145900.0
60,545.0,43900.0
61,2247.0,128400.0
62,3150.0,165600.0
63,578.0,43700.0
64,3402.0,160800.0
65,5982.0,197000.0
66,510.0,42400.0
67,1555.0,107300.0
68,2208.0,349500.0
69,3510.0,142200.0
70,1266.0,55100.0
71,3652.5,496000.0
72,1780.0,119200.0
73,3988.77,514600.0
74,457.0,35200.0
75,1620.0,135000.0
76,7238.0,215000.0
77,1496.0,144100.0
78,351.0,32700.0
79,5376.0,207900.0
80,2748.0,132400.0
81,349.0,32600.0
82,477.0,38700.0
83,4023.0,133200.0
84,582.0,48100.0
85,557.0,42200.0
86,1620.0,135000.0
87,2706.0,84600.0
89,3738.0,213100.0
90,1555.0,107300.0
91,541.0,49200.0
92,554.0,50300.0
93,1186.0,146400.0
94,452.0,34800.0
95,583.0,47600.0
96,3435.0,175500.0
97,1607.0,148400.0
98,3744.0,139400.0
99,496.0,40200.0
100,535.0,43800.0
101,567.0,46900.0
102,1469.55001,148000.0
104,1602.0,149100.0
105,3416.5,163700.0
106,477.0,41700.0
107,657.0,56600.0
108,582.0,44000.0
109,447.0,39200.0
110,2161.0,120300.0
111,588.0,44400.0
112,4023.0,133200.0
113,1048.0,121800.0
114,1976.0,295600.0
115,665.0,54800.0
116,2870.4000100000003,153700.0
117,1050.00001,117700.0
118,2386.0,189500.0
119,5940.0,243900.0
120,3402.0,160800.0
121,1008.00001,105200.0
122,3888.0,162700.0
123,4291.0,324000.0
124,459.0,38500.0
125,3324.0,178700.0
126,1560.0,127100.0
127,1186.0,146400.0
128,3324.0,178700.0
129,683.0,61500.0
130,1620.00001,131000.0
131,3054.0,221400.0
132,430.0,37800.0
133,2560.0,178900.0
134,3736.75,108100.0
135,452.0,39700.0
136,3726.0,190700.0
137,564.0,42700.0
138,3600.0,163300.0
139,1120.0,148700.0
140,477.0,38700.0
141,3741.0,227500.0
142,588.0,44400.0
143,3600.0,163300.0
144,582.0,48100.0
145,2947.5,146200.0
146,789.0,58800.0
147,14512.0,477800.0
148,564.0,42700.0
149,20496.0,645000.0
151,463.0,40600.0
152,1161.0,141000.0
153,4248.0,324700.0
154,450.0,34700.0
155,913.0,56200.0
156,917.0,56200.0
157,6647.40001,185300.0
158,5373.4,500000.0
159,5373.4,500000.0
160,1242.0,50200.0
161,1043.0,127500.0
162,3197.0,157600.0
163,2250.5,150700.0
164,1056.0,147300.0
165,5376.0,207900.0
166,578.0,43700.0
167,361.0,33600.0
168,3141.00001,486100.0
169,582.0,48100.0
170,1167.25,120400.0
171,553.0,45800.0
172,2912.0,200200.0
173,519.0,43100.0
174,1050.00001,117700.0
175,1996.0,111300.0
176,600.0,22400.0
177,545.0,43900.0
178,768.0,120300.0
179,520.0,47400.0
180,2112.00001,145100.0
181,1086.0,126400.0
182,469.0,41100.0
183,574.0,20400.0
184,1298.0,111800.0
185,2484.0,186400.0
186,496.0,40200.0
187,1260.0,145200.0
188,456.0,35100.0
189,925.0,60800.0
190,3420.80001,166900.0
191,1780.0,119200.0
192,1560.0,127100.0
193,459.0,38500.0
194,313.0,29400.0
195,573.0,46800.0
